age,male,female
1,0.000181469,0.000197135
2,9.87151E-05,0.000104405
3,0.000107794,8.30835E-05
4,0.000101457,5.37586E-05
5,5.31776E-05,0.000103267
6,7.36103E-05,5.06557E-05
7,9.50065E-05,9.19198E-05
8,8.88391E-05,6.74607E-05
9,4.85248E-05,6.03192E-05
10,7.11835E-05,9.26407E-05
11,7.39393E-05,8.30955E-05
12,9.75562E-05,6.01992E-05
13,8.9384E-05,7.15894E-05
14,0.000106307,8.9178E-05
15,0.000172998,9.82082E-05
16,0.000178929,8.28946E-05
17,0.000243105,0.000100533
18,0.000254682,0.000123841
19,0.000268328,0.000146483
20,0.000301756,0.000175131
21,0.000394581,0.000132107
22,0.000394013,0.000124881
23,0.000330162,0.000154388
24,0.000431602,0.000177299
25,0.000467697,0.000138842
26,0.000377269,0.000128847
27,0.000438444,0.000173493
28,0.000406133,0.000179125
29,0.000438752,0.000196022
30,0.000572198,0.000244163
31,0.000477249,0.000213389
32,0.000540588,0.000286582
33,0.000607247,0.000263536
34,0.000688041,0.000303802
35,0.00062845,0.000352894
36,0.000653605,0.000396775
37,0.000768157,0.000417914
38,0.000824313,0.000458163
39,0.000892084,0.000486454
40,0.001050005,0.000504749
41,0.001057506,0.000537465
42,0.001010927,0.000639078
43,0.001216127,0.000669771
44,0.001313827,0.000770228
45,0.001470442,0.000841551
46,0.001655853,0.001010908
47,0.001791143,0.001050049
48,0.002165749,0.001039994
49,0.00226232,0.001372027
50,0.002659229,0.001385709
51,0.003059118,0.001646603
52,0.00340076,0.001721519
53,0.003944237,0.00215173
54,0.004282299,0.002176688
55,0.004980815,0.002288957
56,0.005422294,0.002576495
57,0.006021797,0.002858976
58,0.006725581,0.002991484
59,0.007622055,0.003469421
60,0.008242509,0.003563949
61,0.008989076,0.004385538
62,0.009941036,0.004354747
63,0.011147169,0.00495877
64,0.011694913,0.005096466
65,0.013224993,0.005686241
66,0.014078357,0.006220714
67,0.01560289,0.006468157
68,0.016326806,0.007107238
69,0.017440119,0.007738756
70,0.019038619,0.008433751
71,0.02009077,0.009323594
72,0.023053822,0.010009821
73,0.025635491,0.011470233
74,0.026416013,0.012452056
75,0.029909373,0.014668078
76,0.032572695,0.015941858
77,0.036811963,0.018679312
78,0.041974301,0.021432023
79,0.042129357,0.02331761
80,0.049158239,0.02820134
81,0.055920306,0.033192485
82,0.063273803,0.037585139
83,0.07178489,0.043048745
84,0.079375112,0.050141698
85,0.08669431,0.057246026
86,0.099592574,0.067331825
87,0.111953707,0.078380432
88,0.125302529,0.089297146
89,0.138498604,0.101410909
90,0.152901113,0.117352715
91,0.166537409,0.132077477
92,0.191073651,0.15051542
93,0.204038965,0.163134291
94,0.226972157,0.183615727
95,0.232923296,0.204648881
96,0.259734734,0.214326324
97,0.261585877,0.240221333
98,0.257196712,0.25532913
99,0.266239738,0.2683894
100,1,1
