age,male,female
1,0.00046,0.00027
2,0.00018,0.00018
3,0.00009,0.00006
4,0.00003,0.00004
5,0.00012,0.0001
6,0.00004,0.00006
7,0.00004,0.00006
8,0.00004,0.00008
9,0.00004,0.0001
10,0.00007,0.00006
11,0.00008,0.00004
12,0.00009,0.00003
13,0.0001,0.00007
14,0.00013,0.00014
15,0.00019,0.00013
16,0.0002,0.00008
17,0.00015,0.00011
18,0.00019,0.00013
19,0.00033,0.00009
20,0.00043,0.00021
21,0.00038,0.00021
22,0.00043,0.00013
23,0.00041,0.00025
24,0.00039,0.00023
25,0.00039,0.00019
26,0.00047,0.00015
27,0.00041,0.00027
28,0.00049,0.00021
29,0.00052,0.00029
30,0.00053,0.00035
31,0.00056,0.00029
32,0.00051,0.00037
33,0.00051,0.00043
34,0.00054,0.00044
35,0.0007,0.00036
36,0.00066,0.00052
37,0.00078,0.00045
38,0.00083,0.00065
39,0.00076,0.00051
40,0.00091,0.00069
41,0.00101,0.00074
42,0.00098,0.00079
43,0.0012,0.0009
44,0.00132,0.00084
45,0.00149,0.00108
46,0.00155,0.00126
47,0.0019,0.0013
48,0.00166,0.00127
49,0.00236,0.00156
50,0.00259,0.00183
51,0.00276,0.00194
52,0.00285,0.00208
53,0.00322,0.00239
54,0.00382,0.00259
55,0.0038,0.0029
56,0.00491,0.00327
57,0.00477,0.00375
58,0.00563,0.00395
59,0.00608,0.0042
60,0.00672,0.00522
61,0.00665,0.00534
62,0.0085,0.00615
63,0.00905,0.00636
64,0.00973,0.0075
65,0.01122,0.00813
66,0.01225,0.00914
67,0.01336,0.00974
68,0.01479,0.01035
69,0.01675,0.01153
70,0.01938,0.01292
71,0.02146,0.01333
72,0.02254,0.01499
73,0.02464,0.01544
74,0.02688,0.01862
75,0.03003,0.0209
76,0.03539,0.02324
77,0.03928,0.02657
78,0.0428,0.02868
79,0.05012,0.03215
80,0.05492,0.03683
81,0.06268,0.04229
82,0.0689,0.04691
83,0.07804,0.0516
84,0.08745,0.06044
85,0.10119,0.07213
86,0.11532,0.08052
87,0.1299,0.09263
88,0.14795,0.10669
89,0.16279,0.12446
90,0.18559,0.14059
91,0.19974,0.15816
92,0.22799,0.18199
93,0.24259,0.20065
94,0.27677,0.22634
95,0.29481,0.24291
96,0.31204,0.2731
97,0.35087,0.30354
98,0.37576,0.3226
99,0.41794,0.37347
100,1,1
