age,male,female
1,0.00015,0.00024
2,0.00005,0.00005
3,0.00006,0.00017
4,0.00013,0.0001
5,0.00014,0.00005
6,0.00003,0.00007
7,0.00002,0.00005
8,0.00008,0.00003
9,0.00003,0.00003
10,0.00005,0.00008
11,0.00006,0.00007
12,0.00008,0.00003
13,0.00005,0.00007
14,0.00008,0.00009
15,0.00017,0.00012
16,0.00022,0.00013
17,0.00026,0.00009
18,0.00036,0.0003
19,0.00051,0.00019
20,0.00074,0.00023
21,0.00061,0.0003
22,0.00052,0.00018
23,0.00049,0.00022
24,0.00077,0.00035
25,0.00084,0.00028
26,0.00064,0.00028
27,0.00044,0.00036
28,0.00071,0.00033
29,0.00063,0.00016
30,0.00062,0.00028
31,0.00068,0.00037
32,0.00092,0.00031
33,0.00038,0.00025
34,0.00074,0.00037
35,0.00076,0.00046
36,0.00072,0.00042
37,0.00081,0.00056
38,0.00071,0.00049
39,0.0008,0.00054
40,0.00103,0.00057
41,0.00089,0.00056
42,0.0011,0.00062
43,0.00102,0.0008
44,0.00108,0.00083
45,0.00135,0.00076
46,0.00143,0.00081
47,0.0011,0.00118
48,0.00149,0.00103
49,0.00156,0.00122
50,0.00184,0.00121
51,0.00199,0.00151
52,0.00226,0.00168
53,0.00285,0.00188
54,0.00286,0.00208
55,0.00352,0.00235
56,0.00382,0.0025
57,0.00436,0.00285
58,0.00428,0.00283
59,0.00493,0.00359
60,0.00595,0.00363
61,0.00617,0.00463
62,0.0077,0.00484
63,0.00789,0.00529
64,0.00814,0.00588
65,0.0099,0.00608
66,0.01172,0.00702
67,0.01138,0.00702
68,0.0136,0.0091
69,0.01429,0.00919
70,0.01571,0.01052
71,0.01671,0.01112
72,0.02012,0.01344
73,0.02117,0.015
74,0.02359,0.01708
75,0.02749,0.01814
76,0.02978,0.02013
77,0.03256,0.02316
78,0.03556,0.02527
79,0.04332,0.02919
80,0.04785,0.03358
81,0.05317,0.03657
82,0.06181,0.04472
83,0.06965,0.05111
84,0.07805,0.05694
85,0.09053,0.06473
86,0.10482,0.07672
87,0.11507,0.08712
88,0.13141,0.09961
89,0.14622,0.10909
90,0.17158,0.12839
91,0.18,0.1419
92,0.20922,0.16725
93,0.23434,0.18155
94,0.25198,0.19896
95,0.27265,0.22077
96,0.29741,0.24297
97,0.32361,0.26681
98,0.35122,0.2923
99,0.38018,0.31944
100,0.41044,0.3482
