age,male,female
1,0.000229,0.000214
2,0.000127,0.000114
3,0.000102,0.000095
4,0.000086,0.000064
5,0.000074,0.000074
6,0.000085,0.000071
7,0.000067,0.000055
8,0.000069,0.000058
9,0.00006,0.000051
10,0.000078,0.000066
11,0.000077,0.000055
12,0.000102,0.000057
13,0.000116,0.000087
14,0.000129,0.000096
15,0.000172,0.000113
16,0.000205,0.000131
17,0.000311,0.000158
18,0.000402,0.000218
19,0.000454,0.000212
20,0.000525,0.000187
21,0.000507,0.000211
22,0.000497,0.000245
23,0.000524,0.000215
24,0.000556,0.000223
25,0.000601,0.00026
26,0.000607,0.000257
27,0.000629,0.00031
28,0.000681,0.000314
29,0.000728,0.000338
30,0.000771,0.000387
31,0.000835,0.000394
32,0.000858,0.000468
33,0.000957,0.000493
34,0.000989,0.000585
35,0.0011,0.000592
36,0.001155,0.000678
37,0.001351,0.000761
38,0.001317,0.000792
39,0.001457,0.000868
40,0.001606,0.000924
41,0.0017,0.001004
42,0.001848,0.001102
43,0.002015,0.001239
44,0.00221,0.001345
45,0.002467,0.001484
46,0.002646,0.001625
47,0.002743,0.001744
48,0.00296,0.001966
49,0.003297,0.002051
50,0.003577,0.002234
51,0.003821,0.002452
52,0.004075,0.002581
53,0.004402,0.002764
54,0.00472,0.002964
55,0.005046,0.003283
56,0.005593,0.003637
57,0.00606,0.003928
58,0.006695,0.004367
59,0.007239,0.004707
60,0.007912,0.005247
61,0.008636,0.005636
62,0.009601,0.006451
63,0.010552,0.006818
64,0.011171,0.007379
65,0.01246,0.008113
66,0.013853,0.00877
67,0.014782,0.009554
68,0.016348,0.010602
69,0.017949,0.011458
70,0.019238,0.012895
71,0.020795,0.013637
72,0.022782,0.015499
73,0.025799,0.017289
74,0.028776,0.019688
75,0.0323,0.021766
76,0.03573,0.024397
77,0.040136,0.027918
78,0.045188,0.03142
79,0.050259,0.035713
80,0.056143,0.039611
81,0.06203,0.045127
82,0.069197,0.050197
83,0.077486,0.057155
84,0.087296,0.065142
85,0.097476,0.073748
86,0.110221,0.08452
87,0.122808,0.095918
88,0.137654,0.107798
89,0.154513,0.121609
90,0.163489,0.136466
91,0.183325,0.153438
92,0.200869,0.171026
93,0.222981,0.189568
94,0.244606,0.20787
95,0.268951,0.230227
96,0.290494,0.253171
97,0.31405,0.277939
98,0.335507,0.299649
99,0.369942,0.31991
100,1,1
