age,male,female,total
1,0.000423,0.000339,0.000382
2,0.000287,0.000208,0.000248
3,0.000225,0.000159,0.000193
4,0.000158,0.000139,0.000149
5,0.000156,0.000126,0.000141
6,0.000138,0.000113,0.000126
7,0.000124,0.000104,0.000114
8,0.00011,0.000097,0.000104
9,0.000098,0.000092,0.000095
10,0.000094,0.000092,0.000093
11,0.000108,0.000098,0.000103
12,0.000152,0.000113,0.000133
13,0.000232,0.000138,0.000186
14,0.000341,0.000172,0.000258
15,0.000461,0.00021,0.000338
16,0.000584,0.00025,0.000421
17,0.000718,0.000293,0.00051
18,0.000859,0.000336,0.000603
19,0.001001,0.000379,0.000698
20,0.001147,0.000424,0.000795
21,0.001286,0.000471,0.000889
22,0.001403,0.000513,0.00097
23,0.00149,0.00055,0.001032
24,0.001554,0.000583,0.00108
25,0.001609,0.000613,0.001123
26,0.001664,0.000646,0.001165
27,0.001713,0.000682,0.001207
28,0.001762,0.000724,0.001252
29,0.00181,0.000774,0.0013
30,0.001859,0.000828,0.001351
31,0.001907,0.000885,0.001402
32,0.001959,0.00094,0.001454
33,0.002014,0.000989,0.001506
34,0.002072,0.001036,0.001556
35,0.002139,0.001087,0.001615
36,0.002211,0.001144,0.001679
37,0.002277,0.001203,0.00174
38,0.002333,0.001264,0.001798
39,0.00239,0.001332,0.00186
40,0.002463,0.001414,0.001936
41,0.002566,0.001513,0.002036
42,0.002701,0.001626,0.00216
43,0.00287,0.00175,0.002306
44,0.003066,0.001883,0.00247
45,0.00328,0.002025,0.002647
46,0.00352,0.002183,0.002846
47,0.003804,0.002366,0.003079
48,0.004146,0.002584,0.003357
49,0.004547,0.002836,0.003682
50,0.004978,0.003105,0.00403
51,0.005441,0.003391,0.004401
52,0.005965,0.003711,0.00482
53,0.006549,0.004066,0.005285
54,0.00717,0.004441,0.005778
55,0.007803,0.004829,0.006284
56,0.008445,0.005221,0.006794
57,0.009116,0.005613,0.007319
58,0.009838,0.006011,0.007869
59,0.010619,0.006429,0.008456
60,0.01147,0.00688,0.009093
61,0.012361,0.007371,0.009768
62,0.01326,0.007903,0.010467
63,0.01414,0.008481,0.011181
64,0.015019,0.009111,0.011922
65,0.015942,0.009793,0.01271
66,0.017026,0.010568,0.013621
67,0.018189,0.011436,0.01462
68,0.019483,0.012474,0.01577
69,0.02099,0.013659,0.0171
70,0.022448,0.014881,0.018428
71,0.024631,0.016529,0.020317
72,0.02657,0.01821,0.022102
73,0.02904,0.020011,0.024194
74,0.031539,0.021903,0.026342
75,0.034644,0.024322,0.029042
76,0.038148,0.026899,0.032001
77,0.04225,0.029886,0.035443
78,0.046522,0.033413,0.039257
79,0.051401,0.037065,0.043393
80,0.056783,0.041478,0.048163
81,0.062514,0.04615,0.053216
82,0.069452,0.051681,0.05924
83,0.077622,0.058587,0.066564
84,0.086155,0.065586,0.074045
85,0.09545,0.072855,0.081954
86,0.105788,0.081115,0.090879
87,0.118527,0.091618,0.101938
88,0.132437,0.103241,0.114075
89,0.147541,0.116041,0.127331
90,0.163839,0.130061,0.141733
91,0.181308,0.145329,0.157289
92,0.1999,0.161848,0.173986
93,0.219535,0.179598,0.191788
94,0.240108,0.19853,0.210633
95,0.26148,0.218561,0.230432
96,0.283491,0.239579,0.251066
97,0.305955,0.261439,0.272395
98,0.328673,0.283967,0.294253
99,0.351434,0.306967,0.316456
100,1,1,1
