age,male,female
1,0.0002,0.0002
2,0.00013,0.0001
3,0.0001,0.00003
4,0.00014,0.00007
5,0.00006,0.00003
6,0.00005,0.00007
7,0.00009,0.00005
8,0.00006,0.00003
9,0.00011,0.00005
10,0.00003,0.00005
11,0.00008,0.00008
12,0.00005,0.00008
13,0.00013,0.00007
14,0.00006,0.00012
15,0.00019,0.00009
16,0.00018,0.00012
17,0.00031,0.00018
18,0.00037,0.00023
19,0.00056,0.00007
20,0.00047,0.00028
21,0.00062,0.00028
22,0.00044,0.00032
23,0.00051,0.00022
24,0.00064,0.00025
25,0.00062,0.00021
26,0.00045,0.00023
27,0.00066,0.00027
28,0.0008,0.00019
29,0.00068,0.00028
30,0.00062,0.00035
31,0.00078,0.00038
32,0.0007,0.00022
33,0.00064,0.00039
34,0.00061,0.00036
35,0.00075,0.00043
36,0.00086,0.00035
37,0.00071,0.00052
38,0.00073,0.00051
39,0.0008,0.00065
40,0.00083,0.00053
41,0.00086,0.00072
42,0.00092,0.00063
43,0.00091,0.00059
44,0.00119,0.00067
45,0.00113,0.00091
46,0.00135,0.00102
47,0.00173,0.001
48,0.00155,0.00088
49,0.0021,0.00111
50,0.00206,0.00128
51,0.00263,0.00169
52,0.00247,0.00172
53,0.0023,0.00167
54,0.00336,0.00198
55,0.00351,0.00196
56,0.00389,0.00252
57,0.00381,0.0027
58,0.00449,0.00286
59,0.00528,0.00346
60,0.00632,0.00339
61,0.00645,0.004
62,0.00734,0.0045
63,0.00812,0.0055
64,0.00901,0.00583
65,0.00932,0.00611
66,0.01213,0.00708
67,0.01238,0.0083
68,0.01382,0.00875
69,0.01519,0.0098
70,0.01615,0.01072
71,0.01821,0.01224
72,0.01918,0.0128
73,0.02232,0.01417
74,0.02511,0.01691
75,0.02718,0.01864
76,0.02889,0.02032
77,0.03493,0.02242
78,0.03777,0.02786
79,0.04049,0.03035
80,0.04656,0.03271
81,0.05189,0.03947
82,0.06074,0.04252
83,0.06987,0.04932
84,0.0801,0.05658
85,0.09507,0.06474
86,0.1015,0.07519
87,0.11476,0.08268
88,0.13797,0.0989
89,0.14519,0.10769
90,0.16726,0.12854
91,0.18183,0.14082
92,0.21031,0.15709
93,0.22412,0.18817
94,0.24859,0.19619
95,0.27685,0.21694
96,0.30532,0.23846
97,0.33589,0.26152
98,0.36855,0.28615
99,0.40322,0.31233
100,1,1
