age,male,female
1,0.000195001,0.000195001
2,5E-05,5E-05
3,0.000115002,0.000115002
4,0.000115,0.000115
5,9.5001E-05,9.5001E-05
6,5.00002E-05,5.00002E-05
7,3.50001E-05,3.50001E-05
8,5.50003E-05,5.50003E-05
9,3E-05,3E-05
10,6.50001E-05,6.50001E-05
11,6.5E-05,6.5E-05
12,5.50003E-05,5.50003E-05
13,6.00001E-05,6.00001E-05
14,8.5E-05,8.5E-05
15,0.000145,0.000145
16,0.000175001,0.000175001
17,0.000175004,0.000175004
18,0.00033,0.00033
19,0.000350013,0.000350013
20,0.000485033,0.000485033
21,0.000455012,0.000455012
22,0.000350014,0.000350014
23,0.000355009,0.000355009
24,0.000560022,0.000560022
25,0.000560039,0.000560039
26,0.000460016,0.000460016
27,0.000400001,0.000400001
28,0.000520018,0.000520018
29,0.000395028,0.000395028
30,0.000450014,0.000450014
31,0.000525012,0.000525012
32,0.000615047,0.000615047
33,0.000315002,0.000315002
34,0.000555017,0.000555017
35,0.000610011,0.000610011
36,0.000570011,0.000570011
37,0.000685008,0.000685008
38,0.000600006,0.000600006
39,0.000670008,0.000670008
40,0.000800026,0.000800026
41,0.000725014,0.000725014
42,0.000860029,0.000860029
43,0.000910006,0.000910006
44,0.000955008,0.000955008
45,0.001055044,0.001055044
46,0.001120048,0.001120048
47,0.001140001,0.001140001
48,0.001260026,0.001260026
49,0.001390014,0.001390014
50,0.00152505,0.00152505
51,0.001750029,0.001750029
52,0.001970042,0.001970042
53,0.002365118,0.002365118
54,0.002470076,0.002470076
55,0.002935172,0.002935172
56,0.003160218,0.003160218
57,0.003605286,0.003605286
58,0.003555264,0.003555264
59,0.004260225,0.004260225
60,0.004790676,0.004790676
61,0.005400298,0.005400298
62,0.006271029,0.006271029
63,0.006590851,0.006590851
64,0.007010643,0.007010643
65,0.007991839,0.007991839
66,0.009372787,0.009372787
67,0.009202398,0.009202398
68,0.01135256,0.01135256
69,0.01174329,0.01174329
70,0.013118412,0.013118412
71,0.013918961,0.013918961
72,0.016785673,0.016785673
73,0.018089846,0.018089846
74,0.020340407,0.020340407
75,0.022826183,0.022826183
76,0.024966938,0.024966938
77,0.027871362,0.027871362
78,0.030428651,0.030428651
79,0.036280896,0.036280896
80,0.040741535,0.040741535
81,0.044906064,0.044906064
82,0.053303563,0.053303563
83,0.060425729,0.060425729
84,0.067554738,0.067554738
85,0.077720212,0.077720212
86,0.090878561,0.090878561
87,0.101203639,0.101203639
88,0.115652924,0.115652924
89,0.12785257,0.12785257
90,0.150259359,0.150259359
91,0.161166286,0.161166286
92,0.188506288,0.188506288
93,0.208384925,0.208384925
94,0.225923815,0.225923815
95,0.247156762,0.247156762
96,0.270697794,0.270697794
97,0.295782431,0.295782431
98,0.322400114,0.322400114
99,0.35051967,0.35051967
100,0.380100647,0.380100647
