age,male,female,total
1,0.000432,0.000359,0.000396285
2,0.00028,0.000243,0.000262058
3,0.000228,0.000164,0.000196737
4,0.000166,0.000151,0.00015824
5,0.000166,0.000135,0.000150832
6,0.00015,0.00012,0.000134929
7,0.000133,0.000108,0.000121126
8,0.000115,0.0001,0.000107538
9,0.000097,0.000094,9.52994E-05
10,0.000085,0.000092,8.87356E-05
11,0.000092,0.000098,9.4952E-05
12,0.000131,0.000113,0.000122189
13,0.000209,0.00014,0.000175166
14,0.000319,0.000175,0.000248543
15,0.000436,0.000216,0.000328045
16,0.000556,0.000257,0.00040993
17,0.000695,0.0003,0.000501903
18,0.000852,0.000342,0.000602644
19,0.001015,0.000382,0.000706461
20,0.001182,0.000424,0.000813615
21,0.001337,0.000467,0.000914035
22,0.001456,0.000505,0.000994246
23,0.001531,0.000539,0.001048157
24,0.001573,0.000569,0.001082984
25,0.001604,0.000598,0.001111664
26,0.001639,0.000629,0.001143239
27,0.001673,0.000664,0.001176683
28,0.001712,0.000705,0.001215713
29,0.001755,0.000752,0.001259909
30,0.001799,0.000803,0.001306126
31,0.001841,0.000855,0.001352533
32,0.001887,0.000909,0.001401054
33,0.001937,0.000961,0.00145134
34,0.001992,0.001013,0.001504059
35,0.002058,0.001072,0.001566065
36,0.002131,0.001138,0.00163468
37,0.002201,0.001201,0.001700904
38,0.002265,0.001262,0.001762736
39,0.002333,0.001326,0.00182733
40,0.002419,0.001401,0.001907373
41,0.002535,0.001494,0.002010992
42,0.002674,0.001605,0.002135588
43,0.002836,0.001733,0.00228042
44,0.003022,0.001877,0.002444792
45,0.003222,0.002028,0.00262053
46,0.003455,0.002196,0.002820536
47,0.003747,0.002396,0.003066058
48,0.004116,0.002636,0.003368576
49,0.004549,0.002909,0.0037198
50,0.005009,0.003195,0.004090194
51,0.005487,0.00349,0.004473564
52,0.006015,0.003805,0.004891373
53,0.006595,0.004139,0.005343953
54,0.007213,0.004487,0.005822005
55,0.007853,0.004852,0.006319021
56,0.008504,0.005226,0.006825237
57,0.009176,0.005602,0.00734147
58,0.009883,0.005986,0.007876982
59,0.01064,0.006393,0.008447055
60,0.011466,0.006832,0.009065337
61,0.012349,0.00732,0.009734286
62,0.013256,0.007865,0.010444121
63,0.014147,0.008466,0.011176566
64,0.015022,0.009115,0.011927513
65,0.015914,0.009805,0.012707097
66,0.016896,0.010549,0.013556515
67,0.01799,0.011398,0.014514592
68,0.019263,0.012394,0.015633678
69,0.020782,0.013567,0.016961047
70,0.022648,0.015021,0.018596213
71,0.024846,0.016708,0.020505955
72,0.027215,0.018534,0.022564223
73,0.029615,0.020398,0.024654606
74,0.032243,0.022323,0.026877796
75,0.035199,0.024476,0.029366225
76,0.038526,0.026979,0.032204788
77,0.042119,0.029866,0.035365339
78,0.046121,0.033072,0.038877983
79,0.051053,0.036957,0.043163612
80,0.056394,0.041402,0.047922533
81,0.062065,0.046139,0.052977324
82,0.068695,0.051607,0.058839157
83,0.076511,0.057763,0.065561391
84,0.084861,0.064739,0.072949074
85,0.09489,0.072132,0.081193522
86,0.105979,0.08123,0.09081392
87,0.118097,0.091298,0.101376832
88,0.131275,0.102397,0.112927429
89,0.145535,0.114575,0.125501886
90,0.160877,0.127875,0.139124721
91,0.177287,0.142319,0.153806001
92,0.194726,0.157918,0.169538647
93,0.213134,0.174656,0.186296001
94,0.232425,0.192497,0.204029888
95,0.25249,0.211378,0.222669393
96,0.273197,0.231207,0.242120549
97,0.294395,0.251868,0.262267202
98,0.315917,0.273217,0.282972842
99,0.337586,0.295088,0.304084003
100,1,1,1
