age,male,female
1,0.000396,0.000396
2,0.000262,0.000262
3,0.000197,0.000197
4,0.000158,0.000158
5,0.000151,0.000151
6,0.000135,0.000135
7,0.000121,0.000121
8,0.000108,0.000108
9,0.000095,0.000095
10,0.000089,0.000089
11,0.000095,0.000095
12,0.000122,0.000122
13,0.000175,0.000175
14,0.000249,0.000249
15,0.000328,0.000328
16,0.00041,0.00041
17,0.000502,0.000502
18,0.000603,0.000603
19,0.000706,0.000706
20,0.000814,0.000814
21,0.000914,0.000914
22,0.000994,0.000994
23,0.001048,0.001048
24,0.001083,0.001083
25,0.001112,0.001112
26,0.001143,0.001143
27,0.001177,0.001177
28,0.001216,0.001216
29,0.00126,0.00126
30,0.001306,0.001306
31,0.001353,0.001353
32,0.001401,0.001401
33,0.001451,0.001451
34,0.001504,0.001504
35,0.001566,0.001566
36,0.001635,0.001635
37,0.001701,0.001701
38,0.001763,0.001763
39,0.001827,0.001827
40,0.001907,0.001907
41,0.002011,0.002011
42,0.002136,0.002136
43,0.00228,0.00228
44,0.002445,0.002445
45,0.002621,0.002621
46,0.002821,0.002821
47,0.003066,0.003066
48,0.003369,0.003369
49,0.00372,0.00372
50,0.00409,0.00409
51,0.004474,0.004474
52,0.004891,0.004891
53,0.005344,0.005344
54,0.005822,0.005822
55,0.006319,0.006319
56,0.006825,0.006825
57,0.007341,0.007341
58,0.007877,0.007877
59,0.008447,0.008447
60,0.009065,0.009065
61,0.009734,0.009734
62,0.010444,0.010444
63,0.011177,0.011177
64,0.011928,0.011928
65,0.012707,0.012707
66,0.013557,0.013557
67,0.014515,0.014515
68,0.015634,0.015634
69,0.016961,0.016961
70,0.018596,0.018596
71,0.020506,0.020506
72,0.022564,0.022564
73,0.024655,0.024655
74,0.026878,0.026878
75,0.029366,0.029366
76,0.032205,0.032205
77,0.035365,0.035365
78,0.038878,0.038878
79,0.043164,0.043164
80,0.047923,0.047923
81,0.052977,0.052977
82,0.058839,0.058839
83,0.065561,0.065561
84,0.072949,0.072949
85,0.081194,0.081194
86,0.090814,0.090814
87,0.101377,0.101377
88,0.112927,0.112927
89,0.125502,0.125502
90,0.139125,0.139125
91,0.153806,0.153806
92,0.169539,0.169539
93,0.186296,0.186296
94,0.20403,0.20403
95,0.222669,0.222669
96,0.242121,0.242121
97,0.262267,0.262267
98,0.282973,0.282973
99,0.304084,0.304084
100,1,1
