age,male,female
1,0.000415,0.000341
2,0.000257,0.000209
3,0.000193,0.000166
4,0.000153,0.000137
5,0.000149,0.000125
6,0.000137,0.000112
7,0.000126,0.000102
8,0.000113,0.000096
9,0.000101,0.000093
10,0.000095,0.000095
11,0.000106,0.000102
12,0.000145,0.000116
13,0.000221,0.000139
14,0.000324,0.00017
15,0.000438,0.000204
16,0.000554,0.000241
17,0.000679,0.00028
18,0.000809,0.000319
19,0.00094,0.00036
20,0.001077,0.000404
21,0.001211,0.000449
22,0.001324,0.00049
23,0.001407,0.000524
24,0.001465,0.000553
25,0.001514,0.000579
26,0.001564,0.000608
27,0.001614,0.000644
28,0.001669,0.00069
29,0.00173,0.000746
30,0.001794,0.000808
31,0.001858,0.00087
32,0.001926,0.000933
33,0.001998,0.000992
34,0.002072,0.001049
35,0.002154,0.001112
36,0.002241,0.001178
37,0.002323,0.00124
38,0.002399,0.001295
39,0.002476,0.001351
40,0.002569,0.001414
41,0.002685,0.001493
42,0.002824,0.001593
43,0.002983,0.001714
44,0.003162,0.001851
45,0.003365,0.002005
46,0.003596,0.002172
47,0.003856,0.002347
48,0.004154,0.002534
49,0.004497,0.002741
50,0.004867,0.002964
51,0.005284,0.003217
52,0.005789,0.003519
53,0.006385,0.003869
54,0.007034,0.004246
55,0.007687,0.004623
56,0.008338,0.005
57,0.009024,0.005405
58,0.009768,0.005853
59,0.010575,0.006346
60,0.011445,0.006891
61,0.012342,0.007455
62,0.013242,0.008004
63,0.01413,0.00852
64,0.015033,0.009033
65,0.016003,0.009573
66,0.017154,0.010236
67,0.018348,0.01103
68,0.019601,0.012018
69,0.020915,0.013187
70,0.022303,0.014484
71,0.02393,0.015956
72,0.025553,0.017382
73,0.028257,0.019431
74,0.030698,0.021198
75,0.033891,0.023549
76,0.037078,0.025917
77,0.041154,0.029002
78,0.0453,0.03222
79,0.049951,0.035944
80,0.054931,0.040043
81,0.060709,0.044578
82,0.067466,0.050431
83,0.074945,0.056908
84,0.083495,0.063205
85,0.093585,0.071076
86,0.103957,0.080252
87,0.116315,0.090433
88,0.129805,0.101682
89,0.144448,0.114054
90,0.16025,0.12759
91,0.177194,0.142319
92,0.195239,0.15825
93,0.214316,0.175367
94,0.234332,0.193631
95,0.255162,0.212972
96,0.276659,0.233293
97,0.298653,0.254465
98,0.320956,0.276333
99,0.343371,0.298719
100,1,1
